accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Sigmala sigmala,1093733,Reptilia,13182,UK,208.5,201.3,51.623055,-2.428333,34.38,8.97,Tetrapoda,Rhaetian,30.68597,37.75289,1.048693,39.49496,3.4670537000000006
Oligokyphus triserialis,1099936,Osteichthyes,131422,DE,208.5,201.3,48.558613,9.066111,35.04,18.64,Tetrapoda,Rhaetian,27.56064,60.04259,1.721476,39.507964,5.2218100000000005
Oligokyphus biserialis,1099937,Osteichthyes,131422,DE,208.5,201.3,48.558613,9.066111,35.04,18.64,Tetrapoda,Rhaetian,27.56064,60.04259,1.721476,39.507964,5.2218100000000005
Nicrosaurus kapffi,1100184,Reptilia,105834,DE,228,208.5,49.096668,9.377222,30.43,21.26,Tetrapoda,Norian,25.68661,66.5435,1.875858,35.570497,3.5379199999999997
Nicrosaurus kapffi,1100202,Reptilia,106363,DE,228,208.5,48.758331,9.2125,30.08,21.31,Tetrapoda,Norian,27.76358,49.3446,1.370686,34.94238,3.219998
Nicrosaurus kapffi,1100205,Reptilia,138915,DE,228,208.5,48.753056,9.162222,30.06,21.27,Tetrapoda,Norian,27.76358,49.3446,1.370686,34.94238,3.219998
Nicrosaurus meyeri,1100206,Reptilia,138916,DE,228,208.5,48.577778,8.926389,29.84,21.19,Tetrapoda,Norian,28.90005,36.01458,1.000406,31.029360000000004,3.30474
Apachesaurus gregorii,1100726,Osteichthyes,83736,US,237,228,35.2374,-105.793999,14.08,-32.14,Tetrapoda,Carnian,34.0029,27.61294,0.7670252,4.726160000000004,4.22114647
Hemiprichisaurus keuperinus,1104070,Osteichthyes,22684,DE,208.5,201.3,51.897499,11.073611,38.58,17.95,Tetrapoda,Rhaetian,25.97794,37.94636,1.174675,44.270935,3.481397
Plagiosaurus depressus,1104073,Osteichthyes,139483,DE,208.5,201.3,51.897499,11.073611,38.58,17.95,Tetrapoda,Rhaetian,25.97794,37.94636,1.174675,44.270935,3.481397
