taxon_name,collection_no,strat_unit,country,stage,MAT_degC,MAP_cm,s_temp,s_precip
Dilophosaurus_wetherilli,214380,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,33.21588,0.6066519,11.957430000000002,3.47193504
Dilophosaurus_wetherilli,214380,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,33.21588,0.6066519,11.957430000000002,3.47193504
Arizona_Scelidosaur,51895,Kayenta Formation,USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Arizona_Scelidosaur,51895,Kayenta Formation,USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
FMNH_CUP_2089,26997,Lufeng Formation (Zhangjiawa Member),China,Sinemurian,17.31049,1.967777,39.244685999999994,7.797107
FMNH_CUP_2338,72091,Lufeng Formation (Zhangjiawa Member),China,Sinemurian,10.85016,1.638823,54.92191,1.543628
Lagerpetonidae_indet_,87090,Ischigualasto Formation (Scaphonyx-Exaeretodon-Herrerasaurus biozone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Lagerpetonidae_indet_,87090,Ischigualasto Formation (Scaphonyx-Exaeretodon-Herrerasaurus biozone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Poreba_Herrerasauridae_indet_,132933,Zbaszynek Beds,Poland,Norian,26.63986,1.198322,38.719455,2.5056499999999997
Poreba_Herrerasauridae_indet_,132933,Zbaszynek Beds,Poland,Norian,26.63986,1.198322,38.719455,2.5056499999999997
Guaibasauridae_indet_,131837,Maleri Formation (Upper),India,Norian,27.81131,3.548692,19.892089999999996,22.927101
Guaibasauridae_indet_,131837,Maleri Formation (Upper),India,Norian,27.81131,3.548692,19.892089999999996,22.927101
Kayenta_heterodontosaurid,13279,Kayenta Formation,USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Kayenta_heterodontosaurid,13279,Kayenta Formation,USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Bienosaurus_lufengensis,93193,Lufeng Formation (Zhangjiawa Member),China,Sinemurian,10.85016,1.638823,54.92191,1.543628
Bienosaurus_lufengensis,93193,Lufeng Formation (Zhangjiawa Member),China,Sinemurian,13.45938,2.363521,20.203648,8.577663000000001
Camposaurus_arizonensis,39160,Chinle Formation (Mesa Redondo Member),USA,Norian,34.07892,0.7038454,3.77664,4.87227172
Camposaurus_arizonensis,39160,Chinle Formation (Mesa Redondo Member),USA,Norian,34.07892,0.7038454,3.77664,4.87227172
Tachiraptor_admirabilis,159703,La Quinta Formation,Venezuela,Hettangian,39.13739,0.236335,10.579260000000003,1.181562029
