Taxon,strat_unit,country,FAD,LAD,early interval,late interval
Riojasaurus incertus,Los Colorados Formation (Agua de la Peña Group),Argentina,227,213,Norian,Norian
Ruehleia bedheimensis,Trossingen Formation,Germany,218.25,208.5,late Norian,late Norian
Sacisaurus agudoensis,Caturrita Formation (Riograndia assemblage zone),Brazil,225.4,224,early Norian,early Norian
Saltopus elginensis,Lossiemouth Sandstone Formation,UK,232.5,228,late Carnian,late Carnian
Sanjuansaurus gordilloi,"Ischigualasto Formation (La Peña Member, Scaphonyx-Exaeretodon-Herrerasaurus biozone)",Argentina,229.2,227.24,late Carnian,late Carnian
Sarahsaurus aurifontanalis,Kayenta Formation (Silty Facies Member),USA,199.3,182.7,Sinemurian,Pliensbachian
Sarcosaurus woodi,Blue Lias Formation (bucklandi ammonoid zone),UK,199.3,198.6,early Sinemurian,early Sinemurian
Saturnalia tupiniquim,"Santa Maria Formation (Alemoa Member, Hyperodapedon other zone)",Brazil,229.2,227.24,late Carnian,late Carnian
Scelidosaurus harrisonii,Charmouth Mudstone Formation,UK,199.3,190.8,Sinemurian,Sinemurian
Scutellosaurus lawleri,Kayenta Formation (Silty Facies Member),USA,199.3,182.7,Sinemurian,Pliensbachian
Segisaurus halli,Navajo Sandstone Formation,USA,190.8,174.1,Pliensbachian,Toarcian
Seitaad ruessi,Navajo Sandstone Formation,USA,190.8,174.1,Pliensbachian,Toarcian
Silesaurus opolensis,Drawno Beds,Poland,232.5,228,late Carnian,late Carnian
Sinosaurus triassicus,Lufeng Formation (Zhangjiawa and Shawan Members),China,199.3,199.3,Hettangian,Sinemurian
Staurikosaurus pricei,"Santa Maria Formation (Alemoa Member, Rhynchocephalian (Scaphonyx) Assemblage Zone)",Brazil,229.2,227.24,late Carnian,late Carnian
Tachiraptor admirabilis,La Quinta Formation,Venezuela,201.3,199.3,Hettangian,Hettangian
Tatisaurus oehleri,Lufeng Formation (Zhangjiawa Member),China,199.3,190.8,Sinemurian,Sinemurian
Tawa hallae,Chinle Formation (Petrified Forest Member),USA,213.8,210,late Norian,late Norian
Tazoudasaurus naimi,Toundoute Group,Morocco,190.8,174.1,Pliensbachian,Toarcian
Teleocrater,Manda Beds (Lifua Member),Tanzania,244.6,242,late Anisian,late Anisian
Thecodontosaurus antiquus,Magnesian Conglomerate Formation,UK,208.5,201.3,Rhaetian,Rhaetian
Unaysaurus tolentinoi,Caturrita Formation (Riograndia assemblage zone),Brazil,225.4,224,early Norian,early Norian
Vulcanodon karibaensis,Forest Sandstone Formation,Zimbabwe,201.3,190.8,Hettangian,Sinemurian
Xilousuchus,Heshanggou Formation,China,251.2,247.2,Olenekian,Olenekian
Xingxiulong chengi,Lufeng Formation (Shawan Member),China,201.3,199.3,Hettangian,Hettangian
Yarasuchus,Yerrapalli Formation,India,244.6,242,late Anisian,late Anisian
Yunnanosaurus huangi,Lufeng Formation (Zhangjiawa and Shawan Members),China,199.3,199.3,Hettangian,Sinemurian
Zupaysaurus rougieri,Los Colorados Formation,Argentina,227,213,Norian,Norian
